INSPECCION,MATRICULA,F.MATRIC.,MARCA Y MODELO,BASTIDOR,GRUP,TIP,F,F.INSPEC.,L,I.1,M.1,I.2,M.2,I.3,M.3,I.4,M.4,RESUL.,F.VALIDEZ,DEFEC.
160831933/2016,M-4295-UF,10/01/1997,CITROEN C15,VS7VDPG0011PG4720,3100,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/11/2016,"['0103-L', '0202-L', '0401-L', '0401-L', '0804-L', '0901-L']"
160831934/2016,0827-FKZ,01/02/2007,PEUGEOT PARTNER,VF3GJWJYB95249544,3100,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DESFA.,00/00/0000,"['0209-G', '0804-L']"
160831935/2016,5444-DFJ,07/01/2005,RENAULT MODUS,VF1JP0J0533005132,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DESFA.,00/00/0000,"['0402-G', '0403-G', '0405-G', '0407-G', '0901-L']"
160831936/2016,6932-CYN,23/07/2004,CITROEN C3,VF7FC8HXB27042071,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2017,['0904-L']
160831937/2016,5721-BHX,26/04/2001,CITROEN BERLINGO 1.9D,VF7MFWJZF65591849,3100,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DESFA.,00/00/0000,"['0703-G', '0703-G', '0705-L', '0803-G']"
160831938/2016,9863-FYB,05/12/2007,IVECO 35S14,ZCFC35A600D371136,2400,001,1,02/05/2016,2,008,14,001,16,004,17,001,21,DF.LEV,02/05/2017,"['0103-L', '0601-L']"
160831939/2016,7435-FXL,19/11/2007,MERCEDES BENZ R 320 CDI,WDC2511221A066493,1000,002,2,02/05/2016,2,006,999,,,,,,,DF.LEV,02/05/2018,['0202-L']
160831940/2016,0189-FCN,06/07/2006,BMW SERIE 5 530D,WBANC71060B636539,1000,001,1,02/05/2016,1,008,14,002,12,004,17,002,22,FAVOR.,02/05/2017,['']
160831941/2016,3180-FZP,31/01/2008,KIA SORENTO,KNEJC524585801566,1000,001,1,02/05/2016,1,008,14,004,12,004,17,002,22,DF.LEV,02/05/2018,['0407-L']
160831942/2016,6245-CGZ,25/04/2003,OPEL VECTRA-C-CC,W0L0ZCF6838088690,1000,001,1,02/05/2016,1,008,14,002,12,004,17,002,22,DESFA.,00/00/0000,"['0401-L', '0803-G', '0803-G', '0901-L']"
160831943/2016,8206-BGT,21/03/2001,AUDI A3 1.9 TDI 6V,WAUZZZ8LZ1A071987,1000,001,1,02/05/2016,1,008,14,002,12,004,17,002,22,DF.LEV,02/05/2017,['0103-L']
160831944/2016,8060-DCJ,04/11/2004,NISSAN ATLEON,VWAWDFTK043417853,2127,001,1,02/05/2016,2,006,14,001,16,004,17,001,22,DF.LEV,02/11/2016,"['0202-L', '0202-L']"
160831945/2016,9949-CGK,02/04/2003,RENAULT LAGUNA,VF1BG0K0528188026,1000,001,1,02/05/2016,1,008,14,002,12,002,17,002,22,FAVOR.,02/05/2017,['']
160831946/2016,9202-BLH,06/07/2001,FORD FOCUS,WF0AXXWPDA1M35740,1000,001,1,02/05/2016,1,008,14,004,17,004,12,004,22,FAVOR.,02/05/2017,['']
160831947/2016,8141-DZS,24/05/2006,PEUGEOT 207 5P,VF3WC8HZC33381510,1000,001,1,02/05/2016,1,006,14,002,12,004,17,002,22,DF.LEV,24/05/2017,['0901-L']
160831948/2016,7806-GTN,24/02/2010,DODGE JOURNEY,3D4PG5FY0AT154977,1000,001,1,02/05/2016,1,008,14,002,12,004,17,002,22,FAVOR.,02/05/2018,['']
160831949/2016,2131-BYL,29/07/2002,AUDI A6,WAUZZZ4BZYN017919,1000,001,1,02/05/2016,1,006,14,002,12,004,17,002,22,DF.LEV,02/05/2017,"['0401-L', '0601-L', '0901-L']"
160831950/2016,5223-FCJ,28/04/2004,FIAT SUN LINER,ZFA24400007214263,3200,001,1,02/05/2016,2,008,14,001,16,004,17,001,21,FAVOR.,02/05/2017,['']
160831951/2016,6822-GLH,08/09/2000,MERCEDES BENZ C 220 CDI,WDB2030061A043023,1000,001,1,02/05/2016,1,008,14,002,12,004,17,002,22,DESFA.,00/00/0000,"['0803-G', '0804-G', '0901-L', '0904-L']"
160831952/2016,3940-GSF,07/12/2009,CITROEN C4 HDI,VF7LC9HZC9Y580611,1000,001,1,02/05/2016,1,008,14,004,12,004,17,002,22,DF.LEV,02/05/2018,['0401-L']
160831953/2016,TO-1624-AD,21/06/1999,CHRYSLER 300M,1C3HEB6G7XH712364,1000,001,1,02/05/2016,1,008,14,002,12,004,17,002,22,DF.LEV,02/05/2017,"['0103-L', '0406-L', '0407-L', '0901-L']"
160831954/2016,0422-BVS,26/04/2002,SEAT IBIZA 1.9 TDI 4P,VSSZZZ6LZ2R043020,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/05/2017,['']
160831955/2016,TO-8083-AC,16/04/1999,PEUGEOT 206,VF32AWJZT40253796,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2017,"['0601-L', '0901-L']"
160831956/2016,3136-FKH,09/01/2007,CITROEN BERLINGO,VF7GJWJYB93402289,3100,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/05/2017,['']
160831957/2016,M-5248-PJ,29/04/1994,FORD ESCORT,VS6AXXWPAART23609,1000,002,2,02/05/2016,1,006,999,002,999,,,,,FAVOR.,02/05/2017,['']
160831958/2016,6128-CNF,29/10/2003,VOLKSWAGEN POLO 1.4 TDI,WVWZZZ9NZ4Y022285,1000,001,1,02/05/2016,1,008,14,001,12,004,17,001,22,FAVOR.,02/05/2017,['']
160831959/2016,6857-CVN,29/04/2004,OPEL ZAFIRA-A,W0L0TGF7542166580,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/05/2017,['']
160831960/2016,8678-FBF,02/06/2006,VOLKSWAGEN TOURAN 2.0 TD,WVGZZZ1TZ6W144560,1000,001,1,02/05/2016,1,008,14,001,12,004,17,001,22,FAVOR.,02/06/2017,['']
160831961/2016,6021-CVT,05/05/2004,CITROEN C5 2.0HDI,VF7DCRHZB76503928,1000,001,1,02/05/2016,1,008,14,002,12,004,17,001,22,DF.LEV,02/05/2017,"['0205-L', '0209-L']"
160831962/2016,7863-BJK,14/05/2001,VOLKSWAGEN GOLF,WVWZZZ1JZ1B200234,1000,001,1,02/05/2016,1,008,14,002,12,004,17,001,22,DESFA.,00/00/0000,"['0205-L', '0401-L', '0804-G']"
160831963/2016,9166-GWB,30/04/2010,FORD FOCUS,WF0PXXWPDPAY07238,1000,001,1,02/05/2016,1,008,14,002,12,004,17,001,22,FAVOR.,02/05/2018,['']
160831964/2016,1980-CWV,04/06/2004,MERCEDES-BENZ E270CDI,WDB2110161A595819,1000,001,1,02/05/2016,1,008,14,002,12,004,17,001,22,DF.LEV,02/05/2017,['0401-L']
160831965/2016,7179-GDL,09/05/2008,TOYOTA AURIS,NMTKM56EX0R018935,1000,001,1,02/05/2016,1,008,14,002,12,004,17,001,22,DESFA.,00/00/0000,"['0803-G', '0803-G']"
160831966/2016,1753-BDV,09/01/2001,VOLKSWAGEN POLO 1.4 5V,WVWZZZ6NZ1Y120467,1000,001,1,02/05/2016,1,008,14,002,12,004,17,001,22,DF.LEV,02/05/2017,"['0205-L', '0401-L', '0901-L', '0904-L']"
160831967/2016,M-0982-ON,16/06/1993,SEAT TOLEDO 1.6 INY,VSSZZZ1LZZD247131,1000,001,1,02/05/2016,1,008,14,002,12,004,17,001,22,DF.LEV,02/05/2017,"['0205-L', '0704-L', '0901-L']"
160831968/2016,5322-GNJ,07/07/2009,KAWASAKI ER-6F ABS,JKAEX650ABA043756,0400,001,1,02/05/2016,1,008,14,006,18,006,13,,,FAVOR.,02/05/2018,['']
160831969/2016,6711-CGW,16/04/2003,PEUGEOT 206,VF32A8HXF42908952,1000,002,2,02/05/2016,2,008,999,,,,,,,DF.LEV,02/05/2017,['0202-L']
160831970/2016,2986-CVN,29/04/2004,VOLKSWAGEN GOLF 1.9 TDI,WVWZZZ1KZ4B070362,1000,001,1,02/05/2016,1,008,14,004,12,004,17,004,22,FAVOR.,02/05/2017,['']
160831971/2016,SA-2728-U,19/04/1999,VOLKSWAGEN GOLF 1.9TDI 5,WVWZZZ1JZXW614456,1000,001,1,02/05/2016,1,008,14,001,12,001,17,001,22,DF.LEV,02/05/2017,['0901-L']
160831972/2016,5884-BNR,05/10/2001,CITROEN BERLINGO,VF7MFWJZF65658957,3100,001,1,02/05/2016,1,008,14,004,12,004,17,004,22,DF.LEV,02/11/2016,"['0202-L', '0901-L']"
160831973/2016,3824-FTZ,16/08/2007,DAELIM ET300,KMYMRF0C87T000241,0600,001,1,02/05/2016,1,008,14,002,18,,,,,FAVOR.,02/05/2018,['']
160831974/2016,M-1753-XK,22/04/1999,CITROEN BERLINGO,VF7MFWJZF65297163,3100,001,1,02/05/2016,1,008,14,001,12,001,17,004,22,DF.LEV,02/11/2016,"['0601-L', '0901-L']"
160831975/2016,5815-BHP,10/04/2001,NISSAN VANETTE CARGO,VSKDEVC23U0155159,3100,001,1,02/05/2016,1,008,14,001,12,001,17,004,22,FAVOR.,02/11/2016,['']
160831976/2016,9710-CCK,04/12/2002,RENAULT MEGANE SCENIC,VF1JA1U0527931727,1000,001,1,02/05/2016,2,008,14,002,16,004,17,004,21,DF.LEV,02/05/2017,"['0406-L', '0901-L']"
160831977/2016,8830-DGS,24/02/2005,OPEL CORSA C,W0L0XCF6854209073,1000,001,1,02/05/2016,2,008,14,002,16,004,17,002,21,DF.LEV,02/05/2017,['0601-L']
160831978/2016,M-3003-YC,02/09/1999,BMW SERIE 3 320D M,WBAAL71020KE68643,1000,002,2,02/05/2016,2,006,999,,,,,,,DF.LEV,02/05/2017,"['0103-L', '0202-L']"
160831979/2016,6245-CGZ,25/04/2003,OPEL VECTRA-C-CC,W0L0ZCF6838088690,1000,002,2,02/05/2016,2,006,999,,,,,,,DF.LEV,02/05/2017,"['0401-L', '0901-L']"
160831980/2016,5631-DZT,24/05/2006,FORD MONDEO,WF05XXGBB55B03421,1000,001,1,02/05/2016,2,008,14,006,16,004,17,006,21,FAVOR.,24/05/2017,['']
160831981/2016,0567-CBZ,20/11/2002,FORD TRANSIT,WF0AXXGBFA2L65905,2011,001,1,02/05/2016,2,006,14,002,16,004,17,002,21,DESFA.,00/00/0000,"['0202-L', '0403-G', '0406-G', '0601-L', '0901-L']"
160831982/2016,TO-0085-AG,19/05/2000,OPEL ASTRA-G-CC,W0L0TGF48Y6056447,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2017,['0901-L']
160831983/2016,M-5897-XD,05/03/1999,OPEL ASTRA G,W0L0TGF69X5146178,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2017,['0401-L']
160831984/2016,8174-CWB,17/05/2004,RENAULT CLIO,VF1BBR8EF31474149,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DESFA.,00/00/0000,"['0202-L', '0408-L', '0803-G', '0904-L']"
160831985/2016,7548-DCS,18/11/2004,SKODA OCTAVIA 1.9 TDI 5V,TMBDG11U842953389,1000,002,2,02/05/2016,1,006,999,004,999,,,,,DF.LEV,02/05/2017,"['0103-L', '0901-L']"
160831986/2016,TO-6210-Y,18/12/1995,PEUGEOT 106 D,VF31AVJZ251159774,1000,002,2,02/05/2016,1,004,999,,,,,,,DF.LEV,02/05/2017,['0901-L']
160831987/2016,9812-BNC,19/09/2001,CITROEN JUMPER,VF7232JL216159294,2400,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/11/2016,"['0901-L', '0904-L']"
160831988/2016,6627-GDC,28/04/2008,FIAT 500,ZFA31200000047759,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/05/2018,['']
160831989/2016,8394-DZB,04/05/2006,AUDI A4 2.0 TDI AUT,WAUZZZ8E86A266402,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,04/05/2017,['']
160831990/2016,7912-BKL,05/11/1990,PORSCHE 911,WP0ZZZ96ZMS402509,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2017,['0901-L']
160831991/2016,6305-GVY,28/04/2010,VOLKSWAGEN GOLF,WVWZZZ1KZAM653804,1002,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2018,['0406-L']
160831992/2016,M-7617-ZK,20/04/1999,FORD ESCORT 5P,WF0AXXBBAAXK32553,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2017,"['0903-L', '0904-L']"
160831993/2016,2788-FZS,01/02/2008,HONDA CIVIC 5DR,SHHFK37608U003779,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2018,"['0401-L', '0903-L']"
160831994/2016,3926-BNR,08/10/2001,RENAULT CLIO,VF1BB05CF25064425,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2017,['0904-L']
160831995/2016,3088-DSF,04/11/2005,RENAULT MASTER,VF1JDGMH634832834,3100,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/11/2016,['']
160831996/2016,2751-DZC,05/05/2006,SEAT IBIZA,VSSZZZ6LZ6R544974,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,05/05/2017,['']
160831997/2016,M-3790-OH,29/03/1993,OPEL VECTRA,W0L000087P1046490,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2017,"['0901-L', '0904-L']"
160831998/2016,4925-DZH,11/05/2006,FORD MONDEO,WF05XXGBB56T80206,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,11/05/2017,['0904-L']
160831999/2016,V-2510-FF,20/12/1995,SEAT IBIZA,VSSZZZ6KZTR113942,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2017,"['0202-L', '0901-L']"
160832000/2016,0299-DZC,04/05/2006,SEAT LEON,VSSZZZ1PZ6R088727,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,04/05/2017,['']
160832001/2016,5444-DFJ,07/01/2005,RENAULT MODUS,VF1JP0J0533005132,1000,002,2,02/05/2016,1,008,999,004,999,,,,,DF.LEV,02/05/2017,['0901-L']
160832002/2016,4250-BKL,15/06/2001,BMW SERIE 5 525D A,WBADL01000GY05900,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DESFA.,00/00/0000,"['0703-G', '0704-G', '0904-L']"
160832003/2016,7600-CSJ,20/02/2004,OPEL VIVARO,W0LJ7ACA64V613977,3100,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/11/2016,"['0901-L', '0904-L']"
160832004/2016,7657-DRV,25/10/2005,CHRYSLER GRAND VOYAGER,1A8GYB5566Y106575,3100,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DESFA.,00/00/0000,['0603-G']
160832005/2016,7534-DTV,27/12/2005,HYUNDAI SANTA FE,KMHSC81VP6U054699,1033,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2017,['0901-L']
160832006/2016,2947-GTB,28/01/2010,OPEL INSIGNIA,W0LGM6EY5A1052660,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/05/2018,['']
160832007/2016,9286-BHP,17/04/2001,MAZDA 323F,JMZBJ14P201299943,1000,001,1,02/05/2016,1,008,14,008,12,004,17,002,22,DF.LEV,02/05/2017,"['0202-L', '0202-L', '0405-L']"
160832008/2016,TO-5054-AG,04/08/2000,SEAT LEON,VSSZZZ1MZYR021749,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/05/2017,['']
160832009/2016,TO-2148-AF,27/12/1999,PEUGEOT 406,VF38BRHZE80855900,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/05/2017,['']
160832010/2016,3220-FYK,18/12/2007,TOYOTA AURIS,SB1KD56E20F017817,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2018,['0202-L']
160832011/2016,5888-HWJ,27/03/2014,VOLKSWAGEN GOLF,WVWZZZ1KZCP077123,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/05/2018,['']
160832012/2016,5354-BJV,28/05/2001,BMW SERIE 3,WBAAV11010FU03635,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2017,['0406-L']
160832013/2016,BA-7675-AB,26/01/1999,VOLKSWAGEN POLO,WVWZZZ6NZXY048075,1000,002,2,02/05/2016,1,008,999,,,,,,,DF.LEV,02/05/2017,['0202-L']
160832014/2016,1207-CGT,11/04/2003,PEUGEOT 206,VF32A8HXF43115189,1000,002,2,02/05/2016,1,008,999,,,,,,,DF.LEV,02/05/2017,['0202-L']
160832015/2016,M-0148-YN,23/12/1999,PEUGEOT 206 3P XRD 1.9,VF32CWJZT40672924,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2017,"['0202-L', '0403-L']"
160832016/2016,1551-GCZ,24/04/2008,CITROEN C3,VF7FC8HZC29044025,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/05/2018,['']
160832017/2016,9991-HKK,30/04/2012,OPEL ANTARA,W0LLV6EH6BB146103,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/05/2018,['']
160832018/2016,PO-3460-BH,17/04/1998,PEUGEOT 205 GENERATION,VF320AA9225702765,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DESFA.,00/00/0000,"['0405-G', '0601-L', '0901-L']"
160832019/2016,TO-0553-AG,26/05/2000,AUDI A3,WAUZZZ8LZYA098151,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/05/2017,['']
160832020/2016,ZA-4178-G,29/11/1990,FORD ORION,VS6FXXWPAFLA05581,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DESFA.,00/00/0000,"['0202-L', '0403-G', '0503-G', '0901-L']"
160832021/2016,5790-BHP,10/04/2001,CITROEN SAXO 15D,VF7S1VJXB57482089,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2017,['0904-L']
160832022/2016,9172-GWB,30/04/2010,FORD KUGA,WF0RXXGCDRAS06021,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/05/2018,['']
160832023/2016,6830-CKR,18/07/2003,MITSUBISHI MONTERO,JMBMNV68W3J004046,3100,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/11/2016,['']
160832024/2016,TO-7214-Z,04/03/1997,RENAULT LAGUNA 2.0,VF1B56LKC16049712,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2017,"['0601-L', '0901-L', '0904-L']"
160832025/2016,M-5016-KY,06/04/1990,NISSAN BLUEBIRD,SJN000T72U0323540,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DESFA.,00/00/0000,"['0803-G', '0904-L']"
160832026/2016,7315-BWG,20/05/2002,PEUGEOT 206 5P,VF32A8HXF42440134,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/05/2017,['']
160832027/2016,M-6032-MN,30/08/1991,PEUGEOT 205 PLUS DIESEL,VSC20CA9224505864,1000,001,1,02/05/2016,1,008,14,006,12,004,17,002,22,DESFA.,00/00/0000,"['0601-L', '0704-G', '0803-G', '0803-G', '0901-L', '0904-L']"
160832028/2016,4217-BWM,28/05/2002,MAZDA 626,JMZGF12S201448015,1000,001,1,02/05/2016,1,008,14,002,12,004,17,002,22,FAVOR.,02/05/2017,['']
160832029/2016,6652-DXT,29/03/2006,RENAULT KANGOO,VF1FCAVAK35139772,2420,002,2,02/05/2016,2,006,999,001,999,,,,,DF.LEV,02/11/2016,['0901-L']
160832030/2016,8419-CVB,14/04/2004,HONDA ACCORD,JHMCN15204C203647,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/05/2017,['']
160832031/2016,TO-2467-AG,28/06/2000,SEAT LEON 1.9 TDI 5V,VSSZZZ1MZYR007576,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DESFA.,00/00/0000,"['0302-G', '0406-L', '0804-G', '0901-L']"
160832032/2016,8700-GWC,03/05/2010,CITROEN C4 PICASSO,VF7UA9HZCAJ547595,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/05/2018,['']
160832033/2016,2114-DJN,20/04/2005,NISSAN MAXIMA,JN1CAUA33U0052756,1000,002,2,02/05/2016,1,008,999,,,,,,,DESFA.,00/00/0000,['0502-G']
160832034/2016,4175-DJR,22/04/2005,PEUGEOT PARTNER,VF3GJRHYK95148077,3100,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/11/2016,"['0302-L', '0405-L', '0901-L']"
160832035/2016,0767-DYW,27/04/2006,HYUNDAI ACCENT,KMHCG51VP5U297972,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DESFA.,00/00/0000,"['0302-G', '0406-L', '0803-G']"
160832036/2016,2509-CTL,25/03/2004,PEUGEOT 406 4P,VF38BRHZF81670355,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2017,"['0202-L', '0904-L']"
160832037/2016,1498-DVJ,12/01/2006,BMW SERIE 3,WBABD31050JX27123,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2017,"['0901-L', '0904-L']"
160832038/2016,4872-DSF,04/11/2005,CITROEN BERLINGO,VF7GJWJYB93289784,3100,001,1,02/05/2016,1,008,14,002,12,004,17,002,22,DF.LEV,02/11/2016,"['0405-L', '0407-L', '0804-L', '0901-L', '0903-L', '0904-L']"
160832039/2016,TO-7929-Y,30/04/1997,RENAULT CLIO,VF1357K0F16134499,1000,002,2,02/05/2016,2,008,999,001,999,,,,,DESFA.,00/00/0000,"['0202-L', '0502-G', '0502-G']"
160832040/2016,1806-GWB,29/04/2010,VOLKSWAGEN GOLF,WVWZZZ1KZAW364263,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/05/2018,['']
160832041/2016,4228-GWD,04/05/2010,VOLKSWAGEN TIGUAN,WVGZZZ5NZAW093522,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/05/2018,['']
160832042/2016,TO-1746-AF,20/12/1999,CITROEN XSARA 16I,VF7N1NFZF36723134,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2017,"['0601-L', '0903-L']"
160832043/2016,1787-CTG,18/03/2004,CITROEN JUMPY,VF7BZWJYB86086140,2400,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DESFA.,00/00/0000,"['0102-G', '0202-L', '0202-G', '0208-G', '0212-G', '0401-G', '0503-G', '0803-G', '0901-L']"
160832044/2016,2973-GWP,25/05/2010,TOYOTA AURIS 2.0 D4D 5P,NMTKF56E50R019971,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/05/2018,['']
160832045/2016,8865-DYL,17/04/2006,PEUGEOT 407,VF36E9HYB21372217,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2017,['0401-L']
160832046/2016,M-3619-VJ,19/12/1997,FORD MONDEO 5P,WF0AXXGBBAVC55036,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2017,['0212-L']
160832047/2016,8945-BMV,06/09/2001,CITROEN BERLINGO,VF7MFRHYF65680735,3100,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/11/2016,['']
160832048/2016,0791-HKL,30/04/2012,SEAT LEON,VSSZZZ1PZCR018804,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/05/2018,['']
160832049/2016,0535-GWM,19/05/2010,OPEL ZAFIRA,W0L0AHM75AG072969,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/05/2018,['']
160832050/2016,0827-FKZ,01/02/2007,PEUGEOT PARTNER,VF3GJWJYB95249544,3100,002,2,02/05/2016,2,006,999,,,,,,,DF.LEV,02/05/2017,['0804-L']
160832051/2016,9231-GCX,22/04/2008,BMW 116I,WBAUE31040E078669,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,FAVOR.,02/05/2018,['']
160832052/2016,TO-9320-AC,07/05/1999,RENAULT CLIO,VF1BB0E0E20247005,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2017,"['0901-L', '0903-L']"
160832053/2016,9015-CSH,19/02/2004,MITSUBISHI L-200,MMBJNK7404D023134,2000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DESFA.,00/00/0000,"['0410-G', '0601-G', '0603-G', '0804-G']"
160832054/2016,3576-CSX,08/03/2004,MERCEDES BENZ E 270 CDI,WDB2110161A526562,1000,002,2,02/05/2016,1,008,999,004,999,,,,,FAVOR.,02/05/2017,['']
160832055/2016,0443-JDZ,23/04/2015,VOLVO 2857232121,YV1SW720211037338,1002,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DESFA.,00/00/0000,"['0803-G', '0803-G', '0901-L', '0902-G']"
160832056/2016,TO-7929-Y,30/04/1997,RENAULT CLIO,VF1357K0F16134499,1000,002,2,02/05/2016,1,008,999,,,,,,,DESFA.,00/00/0000,"['0202-L', '0502-G']"
160832057/2016,1610-GVW,22/04/2010,RENAULT LAGUNA,VF1BT0J0642800437,1000,001,1,02/05/2016,1,008,14,001,12,004,17,002,22,DF.LEV,02/05/2018,['0406-L']
160832058/2016,0567-CBZ,20/11/2002,FORD TRANSIT,WF0AXXGBFA2L65905,2011,002,2,03/05/2016,2,008,999,002,999,,,,,DF.LEV,03/11/2016,"['0202-L', '0601-L', '0901-L']"
160832059/2016,M-7584-TV,01/08/1996,AUDI A4,WAUZZZ8DZTA317826,1000,001,1,03/05/2016,1,008,14,002,12,004,17,004,22,DF.LEV,03/05/2017,"['0202-L', '0205-L', '0205-L', '0406-L', '0901-L']"
160832060/2016,7613-HKL,03/05/2012,SEAT IBIZA,VSSZZZ6JZCR085428,1000,001,1,03/05/2016,1,008,14,002,12,004,17,004,22,FAVOR.,03/05/2018,['']
160832061/2016,M-8261-VU,08/04/1998,OPEL FRONTERA SPORT,SED5KSUD2WV611682,1033,001,1,03/05/2016,1,008,14,002,12,004,17,010,22,DF.LEV,03/05/2017,"['0103-L', '0403-L', '0406-L', '0901-L']"
160832062/2016,M-8086-XN,27/05/1999,RENAULT LAGUNA,VF1B56J0519902225,1000,001,1,03/05/2016,1,008,14,002,12,004,17,010,22,DF.LEV,03/05/2017,"['0202-L', '0209-L', '0901-L']"
160832063/2016,1166-DBN,09/01/2003,MERCEDES-BENZ A 170 CDI,WDB1680091J648388,1000,001,1,03/05/2016,1,008,14,002,12,004,17,010,22,DF.LEV,03/05/2017,"['0205-L', '0212-L']"
160832064/2016,4655-FTD,23/07/2007,DERBI ATLANTIS,VTHAT1B1A5G223044,0400,001,1,03/05/2016,1,008,14,002,18,001,13,,,FAVOR.,03/05/2018,['']
